name,military record.organization,military record.rank
"Bruton, Christopher C.",U.S. Army,Captain
"Brutsche, Henry",U.S. Navy,Landsman
"Bryan, William C.",U.S. Army,Hospital Steward
"Bryant, Andrew S.",U.S. Army,Sergeant
"Bryant, William Maud",U.S. Army,Sergeant First Class
"Buchanan, David M.",U.S. Navy,Apprentice
"Buchanan, George A.",U.S. Army,Private
"Buck, F. Clarence",U.S. Army,Corporal
"Buck, James",U.S. Navy,Quartermaster
"Buckingham, David E.",U.S. Army,First Lieutenant
"Buckles, Abram J.",U.S. Army,Sergeant
"Buckley, Denis",U.S. Army,Private
"Buckley, Howard Major",U.S. Marine Corps,Private
"Buckley, John C.",U.S. Army,Sergeant
"Bucklyn, John K.",U.S. Army,First Lieutenant
"Buffington, John E.",U.S. Army,Sergeant
"Buffum, Robert",U.S. Army,Private
"Buhrman, Henry G.",U.S. Army,Private
"Buker, Brian L.",U.S. Army,Sergeant
"Bulkeley, John Duncan",U.S. Navy,Lieutenant Commander
"Bumgarner, William",U.S. Army,Sergeant
"Burbank, James H.",U.S. Army,Sergeant
"Burger, Joseph",U.S. Army,Private
"Burk, E. Michael",U.S. Army,Private
"Burk, Thomas",U.S. Army,Sergeant
"Burkard, Oscar",U.S. Army,Private
"Burke, Daniel W.",U.S. Army,First Sergeant
"Burke, Patrick J.",U.S. Army,Farrier
"Burke, Richard",U.S. Army,Private
"Burke, Robert C.",U.S. Marine Corps,Private First Class
"Burke, Thomas",U.S. Army,Private
"Burke, Thomas",U.S. Navy,Seaman
"Burnett, George R.",U.S. Army,Second Lieutenant
"Burns, James M.",U.S. Army,Sergeant
"Burns, John M.",U.S. Navy,Seaman
"Burritt, William W.",U.S. Army,Private
"Burton, Albert",U.S. Navy,Seaman
"Bush, Richard Earl",U.S. Marine Corps,Corporal
"Bush, Robert Eugene",U.S. Navy,Hospital Apprentice First Class
"Butler, Edmond",U.S. Army,Captain
"Butterfield, Daniel",U.S. Army,Brigadier General
"Butterfield, Frank G.",U.S. Army,First Lieutenant
"Butts, George",U.S. Navy,Gunner's Mate
"Buzzard, Ulysses G.",U.S. Army,Corporal
"Byrd, Richard Evelyn,",U.S. Navy,Commander
"Byrne, Denis",U.S. Army,Sergeant
"Byrnes, James",U.S. Navy,Boatswain's Mate
"Cable, Joseph A.",U.S. Army,Private
"Caddy, William Robert",U.S. Marine Corps,Private First Class
"Cadwallader, Abel G.",U.S. Army,Corporal
"Cadwell, Luman L.",U.S. Army,Sergeant
"Caldwell, Daniel",U.S. Army,Sergeant
"Calkin, Ivers S.",U.S. Army,First Sergeant
"Callaghan, Daniel Judson",U.S. Navy,Rear Admiral
"Callahan, John H.",U.S. Army,Private
"Callen, Thomas J.",U.S. Army,Private
"Calvert, James S.",U.S. Army,Private
"Camp, Carlton M.",U.S. Army,Private
"Campbell, Albert Ralph",U.S. Marine Corps,Private
"Campbell, Daniel",U.S. Marine Corps,Private
"Campbell, James A.",U.S. Army,Private
"Campbell, William",U.S. Navy,Boatswain's Mate
"Campbell, William",U.S. Army,Private
"Canfield, Heth",U.S. Army,Private
"Cannon, George Ham",U.S. Marine Corps,First Lieutenant
"Cantrell, Charles P.",U.S. Army,Private
"Capehart, Charles E.",U.S. Army,Major
"Capehart, Henry",U.S. Army,Colonel
"Capodanno, Vincent R.",U.S. Navy,Lieutenant
"Capron, Horace,",U.S. Army,Sergeant
"Carey, Charles F.",U.S. Army,Technical Sergeant
"Carey, Hugh",U.S. Army,Sergeant
"Carey, James L.",U.S. Army,Sergeant
"Carey, James",U.S. Navy,Seaman
"Carlisle, Casper R.",U.S. Army,Private
"Carman, Warren",U.S. Army,Private
"Carmin, Isaac H.",U.S. Army,Corporal
"Carney, William H.",U.S. Army,Sergeant
"Caron, Wayne Maurice",U.S. Navy,Hospital Corpsman Third Class
"Carpenter, Louis H.",U.S. Army,Captain
"Carr, Eugene A.",U.S. Army,Colonel
"Carr, Franklin",U.S. Army,Corporal
"Carr, John",U.S. Army,Private
"Carr, William M.",U.S. Navy,Master-at-Arms
"Carr, William Louis",U.S. Marine Corps,Private
"Carroll, Thomas",U.S. Army,Private
"Carson, William J.",U.S. Army,Musician
"Cart, Jacob",U.S. Army,Private
"Carter, Bruce W.",U.S. Marine Corps,Private First Class
"Carter, Edward A.",U.S. Army,Sergeant
"Carter, George",U.S. Army,Private
"Carter, John J.",U.S. Army,Second Lieutenant
"Carter, Joseph F.",U.S. Army,Captain
"Carter, Joseph E.",U.S. Navy,Blacksmith
"Carter, Mason",U.S. Army,First Lieutenant
"Carter, Robert G.",U.S. Army,Second Lieutenant
"Carter, William H.",U.S. Army,First Lieutenant
"Caruana, Orlando E.",U.S. Army,Private
"Cary, Robert W.",U.S. Navy,Lieutenant Commander
"Casamento, Anthony",U.S. Marine Corps,Corporal
"Casey, David",U.S. Army,Private
"Casey, Henry",U.S. Army,Private
"Casey, James S.",U.S. Army,Captain
"Cassidy, Michael",U.S. Navy,Landsman
"Catlin, Isaac S.",U.S. Army,Colonel
"Cavanaugh, Thomas",U.S. Navy,First Class Fireman
"Cayer, Ovila",U.S. Army,Sergeant
"Cecil, Joseph",U.S. Army,First Lieutenant
"Chadwick, Leonard",U.S. Navy,Apprentice First Class
"Chamberlain, Joshua L.",U.S. Army,Colonel
"Chamberlain, Orville T.",U.S. Army,Second Lieutenant
"Chambers, Joseph B.",U.S. Army,Private
"Chambers, Justice M.",U.S. Marine Corps,Colonel
"Champagne, David B.",U.S. Marine Corps,Corporal
"Chandler, Henry F.",U.S. Army,Sergeant
"Chandler, James B.",U.S. Navy,Coxswain
"Chandler, Stephen E.",U.S. Army,Quartermaster Sergeant
"Chandron, August",U.S. Navy,Seaman Apprentice
"Chapman, Amos",U.S. Army,Scout
"Chapman, John",U.S. Army,Private
"Chaput, Louis G.",U.S. Navy,Landsman
"Charette, George",U.S. Navy,Gunner's Mate First Class
"Chase, John F.",U.S. Army,Private
"Chatham, John Purnell",U.S. Navy,Gunner's Mate Second Class
"Cheever, Benjamin H.",U.S. Army,First Lieutenant
"Child, Benjamin H.",U.S. Army,Corporal
"Chiquito, N/A",U.S. Army,Scout
"Chisman, William W.",U.S. Army,Private
"Christiancy, James I.",U.S. Army,First Lieutenant
"Christianson, Stanley R.",U.S. Marine Corps,Private First Class
"Churchill, Samuel J.",U.S. Army,Corporal
"Cilley, Clinton A.",U.S. Army,Captain
"Clancy, James T.",U.S. Army,Sergeant
"Clancy, John E.",U.S. Army,Musician
"Clancy, Joseph",U.S. Navy,Chief Boatswain's Mate
"Clapp, Albert A.",U.S. Army,First Sergeant
"Clark, Charles A.",U.S. Army,Lieutenant/Adjutant
"Clark, Harrison",U.S. Army,Corporal
"Clark, James G.",U.S. Army,Private
"Clark, John W.",U.S. Army,First Lieutenant/Regimental Quartermaster
"Clark, Wilfred",U.S. Army,Private
"Clark, William A.",U.S. Army,Corporal
"Clarke, Dayton P.",U.S. Army,Captain
"Clarke, Powhatan",U.S. Army,Second Lieutenant
"Clausen, Charles H.",U.S. Army,First Lieutenant
"Clausen, Claus Kristian",U.S. Navy,Coxswain
"Clausen, Raymond M.",U.S. Marine Corps,Private First Class
"Clay, Cecil",U.S. Army,Captain
"Cleveland, Charles F.",U.S. Army,Private
"Clifford, Robert T.",U.S. Navy,Master-at-Arms
"Clopp, John E.",U.S. Army,Private
"Clute, George W.",U.S. Army,Corporal
"Co-Rux-Te-Chod-Ish, (Mad Bear)",U.S. Army,Sergeant
"Coates, Jefferson",U.S. Army,Sergeant
"Cockley, David L.",U.S. Army,First Lieutenant
"Cody, William F.",U.S. Army,Scout
"Coey, James",U.S. Army,Major
"Coffey, Robert J.",U.S. Army,Sergeant
"Cohn, Abraham",U.S. Army,Sergeant Major
"Coker, Ronald L.",U.S. Marine Corps,Private First Class
"Colbert, Patrick",U.S. Navy,Coxswain
"Colby, Carlos W.",U.S. Army,Sergeant
"Cole, Darrell Samuel",U.S. Marine Corps,Sergeant
"Cole, Gabriel",U.S. Army,Corporal
"Coleman, John",U.S. Marine Corps,Private
"Collins, Harrison",U.S. Army,Corporal
"Collins, Thomas D.",U.S. Army,Sergeant
"Collis, Charles H. T.",U.S. Army,Colonel
"Colwell, Oliver",U.S. Army,First Lieutenant
"Comfort, John W.",U.S. Army,Corporal
"Commiskey, Henry A. Sr.",U.S. Marine Corps,First Lieutenant
"Compson, Hartwell B.",U.S. Army,Major
"Conaway, John W.",U.S. Army,Private
"Conboy, Martin",U.S. Army,Sergeant
"Conlan, Dennis",U.S. Navy,Seaman
"Connell, Trustrim",U.S. Army,Corporal
"Conner, Richard",U.S. Army,Private
"Connolly, Michael",U.S. Navy,Ordinary Seaman
"Connor, John",U.S. Army,Corporal
"Connor, Peter S.",U.S. Marine Corps,Staff Sergeant
"Connor, Thomas",U.S. Navy,Ordinary Seaman
"Connor, William C.",U.S. Navy,Boatswain's Mate
"Connors, James",U.S. Army,Private
"Cook, Donald Gilbert",U.S. Marine Corps,Colonel
"Cook, John",U.S. Army,Bugler
"Cook, John H.",U.S. Army,Sergeant
"Cooke, Walter H.",U.S. Army,Captain
"Cooney, James",U.S. Marine Corps,Private
"Cooney, Thomas C.",U.S. Navy,Chief Machinist
"Coonrod, Aquilla",U.S. Army,Sergeant
"Cooper, John",U.S. Navy,Coxswain
"Copp, Charles D.",U.S. Army,Second Lieutenant
"Corcoran, John",U.S. Army,Private
"Corcoran, Michael",U.S. Army,Corporal
"Corcoran, Thomas E.",U.S. Navy,Landsman
"Corey, William",U.S. Navy,Landsman
"Corliss, George W.",U.S. Army,Captain
"Corliss, Stephen P.",U.S. Army,First Lieutenant
"Corry, William Merrill,",U.S. Navy,Lieutenant Commander
"Corson, Joseph K.",U.S. Army,Assistant Surgeon
"Cosgriff, Richard H.",U.S. Army,Private
"Cosgrove, Thomas",U.S. Army,Private
"Costello, John",U.S. Navy,Ordinary Seaman
"Cotton, Peter",U.S. Navy,Ordinary Seaman
"Coughlin, John",U.S. Army,Lieutenant Colonel
"Courtney, Henry C.",U.S. Navy,Seaman
"Courtney, Henry Alexius",U.S. Marine Corps,Major
"Cox, Robert M.",U.S. Army,Corporal
"Coyne, John N.",U.S. Army,Sergeant
"Craig, Samuel H.",U.S. Army,Sergeant
"Cramen, Thomas",U.S. Navy,Boatswain's Mate
"Crandall, Charles",U.S. Army,Private
"Crandall, Orson L.",U.S. Navy,Chief Boatswain's Mate
"Cranston, William W.",U.S. Army,Private
"Crawford, Alexander",U.S. Navy,Fireman
"Creed, John",U.S. Army,Private
"Creek, Thomas E.",U.S. Marine Corps,Lance Corporal
"Creelman, William J.",U.S. Navy,Landsman
"Crewss, John R.",U.S. Army,Staff Sergeant
"Cripps, Thomas",U.S. Navy,Quartermaster
"Crist, John",U.S. Army,Sergeant
"Criswell, Banjamin C.",U.S. Army,Sergeant
"Crocker, Henry H.",U.S. Army,Captain
"Crocker, Ulric L.",U.S. Army,Private
"Croft, James E.",U.S. Army,Private
"Cromwell, John Philip",U.S. Navy,Captain
"Cronin, Cornelius",U.S. Navy,Chief Quartermaster
"Crosier, William H. H.",U.S. Army,Sergeant
"Cross, James E.",U.S. Army,Corporal
"Crouse, William Adolphus",U.S. Navy,Watertender
"Crowley, Michael",U.S. Army,Private
"Cruse, Thomas",U.S. Army,Second Lieutenant
"Cubberly, William G.",U.S. Army,Private
"Cullen, Thomas",U.S. Army,Corporal
"Cummings, Amos J.",U.S. Army,Sergeant Major
"Cummins, Andrew J.",U.S. Army,Sergeant
"Cumpston, James M.",U.S. Army,Private
"Cunningham, Charles",U.S. Army,Corporal
"Cunningham, Francis M.",U.S. Army,First Sergeant
"Cunningham, James S.",U.S. Army,Private
"Curran, Richard",U.S. Army,Assistant Surgeon
"Curtis, John C.",U.S. Army,Sergeant Major
"Curtis, Josiah M.",U.S. Army,Second Lieutenant
"Curtis, Newton Martin",U.S. Army,Brigadier General
"Custer, Thomas W.",U.S. Army,Second Lieutenant
"Cutcheon, Byron M.",U.S. Army,Major
"Cutinha, Nicholas J.",U.S. Army,Specialist Fourth Class
"Cutter, George W.",U.S. Navy,Landsman
"Cutts, James M.",U.S. Army,Captain
"Dahl, Larry G.",U.S. Army,Specialist Fourth Class
"Dahlgren, John Olof",U.S. Marine Corps,Corporal
"Daily, Charles",U.S. Army,Private
"Daly, Daniel Joseph",U.S. Marine Corps,Gunnery Sergeant
"Damato, Anthony Peter",U.S. Marine Corps,Corporal
"Daniels, James T.",U.S. Army,Sergeant
"Darrough, John S.",U.S. Army,Sergeant
"Davenport, Jack A.",U.S. Marine Corps,Corporal
"David, Albert Leroy",U.S. Navy,"Lieutenant, Junior Grade"
"Davidsizer, John A.",U.S. Army,Sergeant
"Davidson, Anderw",U.S. Army,First Lieutenant
"Davidson, Andrew",U.S. Army,Assistant Surgeon
"Davila, Rudolph B.",U.S. Army,Staff Sergeant
"Davis, Charles C.",U.S. Army,Major
"Davis, Freeman",U.S. Army,Sergeant
"Davis, George E.",U.S. Army,First Lieutenant
"Davis, George Fleming",U.S. Navy,Commander
"Davis, George Andrew",U.S. Air Force,Major
"Davis, Harry",U.S. Army,Private
"Davis, John",U.S. Navy,Quarter Gunner
"Davis, John",U.S. Army,Private
"Davis, John",U.S. Navy,Ordinary Seaman
"Davis, John",U.S. Navy,Gunner's Mate Third Class
"Davis, Joseph",U.S. Army,Corporal
"Davis, Joseph H.",U.S. Navy,Landsman
"Davis, Martin K.",U.S. Army,Sergeant
"Davis, Raymond G.",U.S. Marine Corps,Lieutenant Colonel
"Davis, Rodney Maxwell",U.S. Marine Corps,Sergeant
"Davis, Samuel W.",U.S. Navy,Ordinary Seaman
"Davis, Thomas",U.S. Army,Private
"Dawson, Michael",U.S. Army,Trumpeter
"Day, Charles",U.S. Army,Private
"Day, David F.",U.S. Army,Private
"Day, Matthias W.",U.S. Army,Second Lieutenant
"Day, William L.",U.S. Army,First Sergeant
"De Armond, William",U.S. Army,Sergeant
"De La Garza, Emilio A.",U.S. Marine Corps,Lance Corporal
"De Lacey, Patrick",U.S. Army,First Sergeant
"De Lavie, Hiram H.",U.S. Army,Sergeant
"De Puy, Charles H.",U.S. Army,First Sergeant
"De Swan, John F.",U.S. Army,Private
"De Witt, Richard W.",U.S. Army,Corporal
"Deakin, Charles",U.S. Navy,Boatswain's Mate
"Dealey, Samuel David",U.S. Navy,Commander
"Deane, John M.",U.S. Army,Major
"Deary, George",U.S. Army,Sergeant
"Deblanc, Jefferson Joseph",U.S. Marine Corps,Captain
"Decastro, Joseph H.",U.S. Army,Corporal
"Deetline, Frederick",U.S. Army,Private
"Deignan, Osborn",U.S. Navy,Coxswain
"Deland, Frederick N.",U.S. Army,Private
"Delaney, John C.",U.S. Army,Sergeant
"Dempsey, John",U.S. Navy,Seaman
"Dempster, John",U.S. Navy,Coxswain
"Deneef, Michael",U.S. Navy,Captain of the Top
"Denham, Austin",U.S. Navy,Seaman
"Denig, John Henry",U.S. Marine Corps,Sergeant
"Denning, Lorenzo",U.S. Navy,Landsman
"Dennis, Richard",U.S. Navy,Boatswain's Mate
"Denny, John",U.S. Army,Sergeant
"Densmore, William",U.S. Navy,Chief Boatswain's Mate
"Desomer, Abraham",U.S. Navy,Lieutenant
"Dethlefsen, Merlyn Hans",U.S. Air Force,Major
"Devore, Edward A.",U.S. Army,Specialist Fourth Class
"Dewert, Richard David",U.S. Navy,Hospital Corpsman
"Di Cesnola, Louis P.",U.S. Army,Colonel
"Dias, Ralph E.",U.S. Marine Corps,Private First Class
"Dickens, Charles H.",U.S. Army,Corporal
"Dickey, Douglas E.",U.S. Marine Corps,Private First Class
"Dickey, William D.",U.S. Army,Captain
"Dickie, David",U.S. Army,Sergeant
"Diggins, Bartholomew",U.S. Navy,Ordinary Seaman
"Dilger, Hubert",U.S. Army,Captain
"Dillon, Michael A.",U.S. Army,Private
"Ditzenback, John",U.S. Navy,Quartermaster
"Dixon, William",U.S. Army,Scout
"Doane, Stephen Holden",U.S. Army,First Lieutenant
"Dockum, Warren C.",U.S. Army,Private
"Dodd, Robert F.",U.S. Army,Private
"Dodds, Edward E.",U.S. Army,Sergeant
"Dodge, Francis S.",U.S. Army,Captain
"Doherty, Thomas M.",U.S. Army,Corporal
"Dolloff, Charles W.",U.S. Army,Corporal
"Donahue, John L.",U.S. Army,Private
"Donaldson, John",U.S. Army,Sergeant
"Donavan, Cornelius",U.S. Army,Sergeant
"Donelly, John S.",U.S. Army,Private
"Donnelly, John",U.S. Navy,Ordinary Seaman
"Donoghue, Timothy",U.S. Army,Private
"Doody, Patrick",U.S. Army,Corporal
"Doolen, William",U.S. Navy,Coal Heaver
"Doran, John J.",U.S. Navy,Boatswain's Mate Second Class
"Dore, George H.",U.S. Army,Sergeant
"Dorley, August",U.S. Army,Private
"Dorman, John",U.S. Navy,Seaman
"Dorsey, Daniel A.",U.S. Army,Corporal
"Dorsey, Decatur",U.S. Army,Sergeant
"Dougall, Allan H.",U.S. Army,First Lieutenant/Adjutant
"Dougherty, James",U.S. Marine Corps,Private
"Dougherty, Michael",U.S. Army,Private
"Dougherty, Patrick",U.S. Navy,Landsman
"Dougherty, William",U.S. Army,Blacksmith
"Dow, George P.",U.S. Army,Sergeant
"Dow, Henry",U.S. Navy,Boatswain's Mate
"Dowling, James",U.S. Army,Corporal
"Downey, William",U.S. Army,Private
"Downs, Henry W.",U.S. Army,Sergeant
"Dozier, James B. (Aka James Doshier)",U.S. Army,Post Guide
"Drake, James M.",U.S. Army,Second Lieutenant
"Drury, James",U.S. Army,Sergeant
"Du Moulin, Frank",U.S. Navy,Apprentice
"Du Pont, Henry A.",U.S. Army,Captain
"Duffey, John",U.S. Army,Private
"Duncan, Adam",U.S. Navy,Boatswain's Mate
"Duncan, James K. L.",U.S. Navy,Ordinary Seaman
"Dunlap, Robert Hugo",U.S. Marine Corps,Captain
"Dunlavy, James",U.S. Army,Private
"Dunn, William",U.S. Navy,Quartermaster
"Dunne, James",U.S. Army,Corporal
"Dunphy, Richard D.",U.S. Navy,Coal Heaver
"Durham, James R.",U.S. Army,Second Lieutenant
"Durham, John S.",U.S. Army,Sergeant
"Durney, Austin J.",U.S. Navy,Blacksmith
"Dyess, Aquilla James",U.S. Marine Corps,Lieutenant Colonel
"Eadie, Thomas",U.S. Navy,Chief Gunner's Mate
"Eckes, John N.",U.S. Army,Private
"Eddy, Samuel E.",U.S. Army,Private
"Edgerton, Nathan H.",U.S. Army,Lieutenant/Adjutant
"Edson, Merritt Austin",U.S. Marine Corps,Colonel
"Edwards, David",U.S. Army,Private
"Edwards, John",U.S. Navy,Captain of the Top
"Edwards, William D.",U.S. Army,First Sergeant
"Eglit, John",U.S. Navy,Seaman
"Ehle, John Walter",U.S. Navy,Fireman First Class
"Eilers, Henry A.",U.S. Navy,Gunner's Mate
"Eldridge, George H.",U.S. Army,Sergeant
"Elliott, Alexander",U.S. Army,Sergeant
"Elliott, Russell C.",U.S. Army,Sergeant
"Ellis, Horace",U.S. Army,Private
"Ellis, William",U.S. Army,First Sergeant
"Ellsworth, Thomas F.",U.S. Army,Captain
"Elmore, Walter",U.S. Navy,Landsman
"Elrod, Henry Talmage",U.S. Marine Corps,Captain
"Elsatsoosu, N/A",U.S. Army,Corporal
"Elson, James M.",U.S. Army,Sergeant
"Elwood, Edwin L.",U.S. Army,Private
"Embler, Andrew H.",U.S. Army,Captain
"Emmet, Robert Temple",U.S. Army,Second Lieutenant
"Enderlin, Richard",U.S. Army,Musician
"Engle, James E.",U.S. Army,Sergeant
"English, Edmund",U.S. Army,First Sergeant
"English, Glenn H.",U.S. Army,Staff Sergeant
"English, Thomas",U.S. Navy,Signal Quartermaster
"Ennis, Charles D.",U.S. Army,Private
"Enright, John",U.S. Navy,Landsman
"Epperson, Harold Glenn",U.S. Marine Corps,Private First Class
"Erickson, John P.",U.S. Navy,Captain of the Forecastle
"Erickson, Nick",U.S. Navy,Coxswain
"Estes, Lewellyn G.",U.S. Army,Captain/Ass. Adjutant General
"Estocin, Michael J.",U.S. Navy,Captain
"Evans, Coron D.",U.S. Army,Private
"Evans, Donald W.",U.S. Army,Specialist Fourth Class
"Evans, Ernest Edwin",U.S. Navy,Commander
"Evans, Ira H.",U.S. Army,Captain
"Evans, James R.",U.S. Army,Private
"Evans, Rodney J.",U.S. Army,Sergeant
"Evans, Thomas",U.S. Army,Private
"Evans, William",U.S. Army,Private
"Everetts, John",U.S. Navy,"Gunner's Mate, Third Class"
"Everson, Adelbert",U.S. Army,Private
"Ewing, John C.",U.S. Army,Private
"Factor, Pompey",U.S. Army,Principal Musician
"Falconer, John A.",U.S. Army,Corporal
"Falcott, Henry",U.S. Army,Sergeant
"Fall, Charles S.",U.S. Army,Sergeant
"Fallon, Thomas T.",U.S. Army,Private
"Falls, Benjamin F.",U.S. Army,Color Sergeant
"Fanning, Nicholas",U.S. Army,Private
"Fardy, John Peter",U.S. Marine Corps,Corporal
"Farley, William",U.S. Navy,Boatswain's Mate
"Farnsworth, Herbert E.",U.S. Army,Sergeant Major
"Farrell, Edward",U.S. Navy,Quartermaster
"Farren, Daniel",U.S. Army,Private
"Fasnacht, Charles H.",U.S. Army,Sergeant
"Fassett, John B.",U.S. Army,Captain
"Fasseur, Isaac L.",U.S. Navy,Ordinary Seaman
"Feaster, Mosheim",U.S. Army,Private
"Fegan, James",U.S. Army,Sergeant
"Fernald, Albert E.",U.S. Army,First Lieutenant
"Ferrari, George",U.S. Army,Corporal
"Ferrell, John H.",U.S. Navy,Pilot
"Ferrier, Daniel T.",U.S. Army,Sergeant
"Ferris, Eugene W.",U.S. Army,First Lieutenant/Adjutant
"Fesq, Frank",U.S. Army,Private
"Fichter, Hermann",U.S. Army,Private
"Field, Oscar Wadsworth",U.S. Marine Corps,Private
"Finkenbiner, Henry S.",U.S. Army,Private
"Finn, John William",U.S. Navy,Lieutenant
"Fisher, Frederick Thomas",U.S. Navy,Gunner's Mate First Class
"Fisher, Harry",U.S. Marine Corps,Private
"Fisher, John H.",U.S. Army,First Lieutenant
"Fisher, Joseph",U.S. Army,Corporal
"Fitzpatrick, Thomas",U.S. Navy,Coxswain
"Flaherty, Francis C.",U.S. Navy,Ensign
"Flanagan, Augustin",U.S. Army,Sergeant
"Flannagan, John",U.S. Navy,Boatswain's Mate
"Flannigan, James",U.S. Army,Private
"Fleek, Charles Clinton",U.S. Army,Sergeant
"Fleetwood, Christian A.",U.S. Army,Sergeant Major
"Fleming, Richard E.",U.S. Marine Corps,Captain
"Flood, Thomas",U.S. Navy,Boy
"Fluckey, Eugene Bennett",U.S. Navy,Commander
"Flynn, Christopher",U.S. Army,Corporal
"Flynn, James E.",U.S. Army,Sergeant
"Foley, Alexander Joseph",U.S. Marine Corps,Sergeant
"Foley, John H.",U.S. Army,Sergeant
"Folland, Michael Fleming",U.S. Army,Corporal
"Follett, Joseph L.",U.S. Army,Sergeant
"Folly, William H.",U.S. Army,Private
"Foran, Nicholas",U.S. Army,Private
"Forbeck, Andrew P.",U.S. Navy,Seaman
"Force, Manning F.",U.S. Army,Brigadier General
"Ford, George W.",U.S. Army,First Lieutenant
"Forman, Alexander A.",U.S. Army,Corporal
"Forsterer, Bruno Albert",U.S. Marine Corps,Sergeant
"Forsyth, Thomas H.",U.S. Army,First Sergeant
"Foss, Herbert Louis",U.S. Navy,Seaman
"Foss, Joseph Jacob",U.S. Marine Corps,Captain
"Foster, Paul Hellstrom",U.S. Marine Corps,Sergeant
"Foster, William",U.S. Army,Sergeant
"Foster, William Adelbert",U.S. Marine Corps,Private First Class
"Fournet, Douglas B.",U.S. Army,First Lieutenant
"Fournia, Frank O.",U.S. Army,Private
"Fous, James W.",U.S. Army,Private First Class
"Fout, Frederick W.",U.S. Army,Second Lieutenant
"Fowler, Christopher",U.S. Navy,Quartermaster
"Fox, Henry",U.S. Army,Sergeant
"Fox, Henry M.",U.S. Army,Sergeant
"Fox, John R.",U.S. Army,Lieutenant
"Fox, Nicholas",U.S. Army,Private
"Fox, William R.",U.S. Army,Private
"Foy, Charles H.",U.S. Army,Signal Quartermaster
"France, Unknown",U.S. Army,Unknown
"Francis, Charles Robert",U.S. Marine Corps,Private
"Franklin, Frederick",U.S. Navy,Quartermaster
"Franklin, Joseph John",U.S. Marine Corps,Private
"Franks, William J.",U.S. Navy,Seaman
"Frantz, Joseph",U.S. Army,Private
"Fraser, William W.",U.S. Army,Private
"Fratellenico, Frank R.",U.S. Army,Corporal
"Freeman, Archibald",U.S. Army,Private
"Freeman, Henry B.",U.S. Army,First Lieutenant
"Freeman, Martin",U.S. Navy,Pilot
"Freemeyer, Christopher",U.S. Army,Private
"French, Samuel S.",U.S. Army,Private
"Frey, Franz",U.S. Army,Corporal
"Frick, Jacob G.",U.S. Army,Colonel
"Frisbee, John B.",U.S. Navy,Gunner's Mate
"Frizzell, Henry F.",U.S. Army,Private
"Fry, Isaac N.",U.S. Marine Corps,Orderly Sergeant
"Fuger, Frederick",U.S. Army,Sergeant
"Funk, West",U.S. Army,Major
"Funston, Frederick",U.S. Army,Colonel
"Fuqua, Samuel Glenn",U.S. Navy,Captain
"Furman, Chester S.",U.S. Army,Corporal
"Furness, Frank",U.S. Army,Captain
"Gage, Richard J.",U.S. Army,Private
"Gaiennie, Louis Rene",U.S. Marine Corps,Private
"Galbraith, Robert",U.S. Navy,Gunner's Mate Third Class
"Galer, Robert Edward",U.S. Marine Corps,Major
"Galloway, George N.",U.S. Army,Private
"Galloway, John",U.S. Army,Commissary Sergeant
"Garcia, Fernando Luis",U.S. Marine Corps,Private First Class
"Gardiner, James",U.S. Army,Private
"Gardiner, Peter W.",U.S. Army,Private
"Gardner, Charles N.",U.S. Army,Private
"Gardner, Charles",U.S. Army,Private
"Gardner, James A.",U.S. Army,First Lieutenant
"Gardner, Robert J.",U.S. Army,Sergeant
"Gardner, William",U.S. Navy,Seaman
"Garland, Harry",U.S. Army,Corporal
"Garlington, Ernest A.",U.S. Army,First Lieutenant
"Garrett, William",U.S. Army,Sergeant
"Garrison, James R.",U.S. Navy,Coal Heaver
"Garvin, William",U.S. Navy,Captain of the Forecastle
"Gary, Donald Arthur",U.S. Navy,"Lieutenant, Junior Grade"
"Gasson, Richard",U.S. Army,Sergeant
"Gates, George",U.S. Army,Bugler
"Gaughan, Philip",U.S. Marine Corps,Sergeant
"Gaunt, John C.",U.S. Army,Private
"Gause, Isaac",U.S. Army,Corporal
"Gay, Thomas H.",U.S. Army,Private
"Gaylord, Levi B.",U.S. Army,Sergeant
"Geiger, George",U.S. Army,Sergeant
"George, Daniel G.",U.S. Navy,Ordinary Seaman
"Georgian, John",U.S. Army,Private
"Gerber, Frederick W.",U.S. Army,Sergeant Major
"Gere, Thomas P.",U.S. Army,First Lieutenant/Adjutant
"Gertsch, John G.",U.S. Army,Staff Sergeant
"Geschwind, Nicholas",U.S. Army,Captain
"Gibbons, Michael",U.S. Navy,Oiler
"Gibbs, Wesley",U.S. Army,Sergeant
"Gibson, Edward H.",U.S. Army,Sergeant
"Gidding, Charles",U.S. Navy,Seaman
"Gifford, Benjamin",U.S. Army,Private
"Gifford, David L.",U.S. Army,Private
"Gile, Frank S.",U.S. Navy,Landsman
"Gill, Freeman",U.S. Navy,Gunner's Mate First Class
"Gillespie, George L.",U.S. Army,First Lieutenant
"Gillick, Matthew",U.S. Navy,Boatswain's Mate
"Gilligan, Edward L.",U.S. Army,First Sergeant
"Gilmore, Howard Walter",U.S. Navy,Commander
"Gilmore, John C.",U.S. Army,Major
"Ginley, Patrick",U.S. Army,Private
"Gion, Joseph",U.S. Army,Private
"Given, John J.",U.S. Army,Corporal
"Glavinski, Albert",U.S. Army,Blacksmith
"Glover, T. B.",U.S. Army,Sergeant
"Glynn, Michael",U.S. Army,Principal Musician
"Godfrey, Edward S.",U.S. Army,Captain
